task_id,total_cycles,stability_score,drift_trend_slope,drift_trend_p_value,is_drift_increasing,convergence_detected,convergence_cycle,time_to_instability,regression_count,max_consecutive_regressions,regression_risk_score,post_convergence_drift
humaneval_HumanEval/30,7,0.8254090707606708,0.04339161988092805,0.09425217581728991,True,True,6,-1,1,1,0.43728224290173945,0.3870296088722131
humaneval_HumanEval/31,8,0.7265084054557569,0.03798961821048373,0.08851228554820921,True,False,-1,7,2,1,0.7524945661504527,0.0
humaneval_HumanEval/68,7,0.6731330020017653,0.0492097107757266,0.02977640813700793,True,True,6,-1,3,2,0.4264273316120233,0.37537989474505695
humaneval_HumanEval/62,5,0.7489338091934093,0.08125147946750584,0.12772714084266826,True,True,4,-1,1,1,0.4280599583389794,0.3898782223955035
humaneval_HumanEval/92,7,0.7755617567361348,0.048172618460480106,0.025894467264218658,True,True,6,-1,2,1,0.4149780690043805,0.35848816749749457
humaneval_HumanEval/72,5,0.7903102162021911,0.0729447059353127,0.17819863855723966,True,True,4,-1,1,1,0.4140557464122565,0.3769273740233043
humaneval_HumanEval/9,4,0.7266228800493266,0.14390298148320174,0.18183123602002724,True,False,-1,1,1,1,0.4665107093957007,0.0
humaneval_HumanEval/160,9,0.6666126060800072,0.031035018834364672,0.03236138132199708,True,True,8,-1,3,1,0.4900007120742327,0.386010854291199
humaneval_HumanEval/118,7,0.775249129581531,0.050297308232370885,0.05386868696179554,True,True,6,-1,1,1,0.446139595859396,0.40771808824095584
humaneval_HumanEval/105,5,0.8083537975077295,0.07506042358878749,0.19812752597146233,True,True,4,-1,0,0,0.4174516524776595,0.40590321935572016
humaneval_HumanEval/58,12,0.7485464635970849,0.016608791903519524,0.10568509343829056,True,False,-1,1,3,1,0.7490353702392892,0.0
humaneval_HumanEval/41,5,0.8032815334234589,0.06623571392573933,0.17919534350598995,True,True,4,-1,1,1,0.3994226569928042,0.3252914936362602
humaneval_HumanEval/98,20,0.740094874503554,0.0027538535607774346,0.4333491076247571,False,False,-1,1,8,2,0.5021631940401176,0.0
humaneval_HumanEval/108,18,0.7688649206964511,0.008225110730488807,0.05315355494933832,True,False,-1,17,6,2,0.5421014942757011,0.0
